,time,content_original,search_key,hash_tags,datetime,date,content_all,content_noun
0,2023-06-01T14:04:44.000Z,""" #EuropeanCommission  Responds to ESA's Questions on The Interpretation of SFDR, Including with Respect to The Definition of 'Sustainable Investments'""  #SustainableFinance  ","""sustainablefinance""AND""definition""",EuropeanCommission,2023-06-01 14:04:44+00:00,2023-06-01,"['``', 'europeancommission', 'respond', 'esa', ""'s"", 'question', 'interpretation', 'sfdr', 'include', 'respect', 'definition', ""'sustainable"", 'investment', ""''"", 'sustainablefinance']","['europeancommission', 'question', 'interpretation', 'sfdr', 'respect', 'definition', 'investment', 'sustainablefinance']"
1,2023-06-01T14:04:44.000Z,"Sie werden keinen normalen Rucksack mehr tragen
""Ich liebe diesen Rucksack! Ich benutze ihn täglich seit mehr als einem Jahr für die Arbeit und ermsieht noch aus wie neu! Grossartige Qualität und jede Menge Platz und nützliche Fächer und Features.""","""sustainablefinance""AND""definition""",,2023-06-01 14:04:44+00:00,2023-06-01,"['sie', 'werden', 'keinen', 'normalen', 'rucksack', 'mehr', 'tragen', ""''"", 'ich', 'liebe', 'diesen', 'rucksack', 'ich', 'benutze', 'ihn', 'täglich', 'seit', 'mehr', 'al', 'einem', 'jahr', 'für', 'die', 'arbeit', 'und', 'ermsieht', 'noch', 'au', 'wie', 'neu', 'grossartige', 'qualität', 'und', 'jede', 'menge', 'platz', 'und', 'nützliche', 'fächer', 'und', 'feature', ""''""]","['sie', 'keinen', 'rucksack', 'mehr', 'tragen', 'liebe', 'diesen', 'rucksack', 'benutze', 'ihn', 'seit', 'mehr', 'al', 'jahr', 'für', 'die', 'arbeit', 'au', 'wie', 'neu', 'grossartige', 'qualität', 'jede', 'menge', 'platz', 'und', 'feature']"
2,2023-06-04T22:00:27.000Z,Definitions of key sustainable investment concepts from   report 'A legal framework for impact: Sustainability impact in investor decision-making'. Read it here   #sustainablefinance   #ESG   #impact,"""sustainablefinance""AND""definition""",sustainablefinance,2023-06-04 22:00:27+00:00,2023-06-04,"['definition', 'key', 'sustainable', 'investment', 'concept', 'report', 'legal', 'framework', 'impact', 'sustainability', 'impact', 'investor', 'decision-making', 'read', 'sustainablefinance', 'esg', 'impact']","['definition', 'investment', 'concept', 'report', 'framework', 'impact', 'sustainability', 'impact', 'investor', 'decision-making', 'sustainablefinance', 'impact']"
3,2023-06-12T20:00:21.000Z,"link. 

Real estate groups are calling for changes to the 'confusing' SFDR rules, claiming the definition of inefficient assets is 'unworkable'.  #ESG   #SustainableFinance   #UPSG   #PositiveSocioeconomicChange  [LINK:  ]","""sustainablefinance""AND""definition""",ESG,2023-06-12 20:00:21+00:00,2023-06-12,"['link', 'real', 'estate', 'group', 'call', 'change', ""'confusing"", 'sfdr', 'rule', 'claim', 'definition', 'inefficient', 'asset', ""'unworkable"", 'esg', 'sustainablefinance', 'upsg', 'positivesocioeconomicchange', 'link']","['link', 'estate', 'group', 'change', 'sfdr', 'rule', 'definition', 'asset', 'sustainablefinance', 'positivesocioeconomicchange', 'link']"
4,2023-06-01T10:30:52.000Z,Common definition of  #greenwashing  published by the ESAs. #sustainablefinance   #esg   #sfdr   #eutaxonomy,"""sustainablefinance""AND""definition""",greenwashing,2023-06-01 10:30:52+00:00,2023-06-01,"['common', 'definition', 'greenwashing', 'publish', 'esas', 'sustainablefinance', 'esg', 'sfdr', 'eutaxonomy']","['definition', 'esas', 'sustainablefinance', 'eutaxonomy']"
5,2023-05-19T06:59:15.000Z,Seit Mittwoch online: Die Consolidated Q&A zur  #SFDR  inkl. der im April veröffentlichten Antworten der   auf die September-22-Fragen der ESAs zur Definition von  #Nachhaltigkeit   #SustainableFinance  ,"""sustainablefinance""AND""definition""",SFDR,2023-05-19 06:59:15+00:00,2023-05-19,"['seit', 'mittwoch', 'online', 'die', 'consolidate', 'q', 'zur', 'sfdr', 'inkl', 'der', 'im', 'april', 'veröffentlichten', 'antworten', 'der', 'auf', 'die', 'september-22-fragen', 'der', 'esas', 'zur', 'definition', 'von', 'nachhaltigkeit', 'sustainablefinance']","['seit', 'mittwoch', 'online', 'die', 'q', 'zur', 'inkl', 'april', 'der', 'auf', 'der', 'esas', 'definition', 'sustainablefinance']"
6,2023-03-01T11:01:12.000Z,"The Impact Frontiers &   public consultation on proposed definitions, strategies, disclosures & templates for investor contribution is underway. Contribute to the discussion & join a huddle in your region    #SustainableFinance   #ManageForImpact","""sustainablefinance""AND""definition""",SustainableFinance,2023-03-01 11:01:12+00:00,2023-03-01,"['impact', 'frontier', 'public', 'consultation', 'proposed', 'definition', 'strategy', 'disclosures', 'template', 'investor', 'contribution', 'underway', 'contribute', 'discussion', 'join', 'huddle', 'region', 'sustainablefinance', 'manageforimpact']","['impact', 'frontier', 'consultation', 'definition', 'strategy', 'template', 'investor', 'contribution', 'contribute', 'discussion', 'join', 'huddle', 'region', 'sustainablefinance', 'manageforimpact']"
7,2023-05-02T01:15:10.000Z,Global law firm   have prepared a list of key biodiversity terms and their legal definitions to support people who are new to the  #biodiversity  field.   #nature   #sustainablefinance   #finance,"""sustainablefinance""AND""definition""",biodiversity,2023-05-02 01:15:10+00:00,2023-05-02,"['global', 'law', 'firm', 'prepare', 'list', 'key', 'biodiversity', 'term', 'legal', 'definition', 'support', 'people', 'new', 'biodiversity', 'field', 'nature', 'sustainablefinance', 'finance']","['law', 'firm', 'list', 'biodiversity', 'term', 'definition', 'people', 'biodiversity', 'field', 'sustainablefinance', 'finance']"
8,2023-02-24T08:55:23.000Z,To boost flows of  #sustainablefinance  we need consistent & credible definitions. There are  now 30+ taxonomies underway across the world. The UK needs to act to promote interoperability says its Green Technical Advisory Group (GTAG). Read the report here: ,"""sustainablefinance""AND""definition""",sustainablefinance,2023-02-24 08:55:23+00:00,2023-02-24,"['boost', 'flow', 'sustainablefinance', 'need', 'consistent', 'credible', 'definition', '30+', 'taxonomy', 'underway', 'across', 'world', 'uk', 'need', 'act', 'promote', 'interoperability', 'say', 'green', 'technical', 'advisory', 'group', 'gtag', 'read', 'report']","['flow', 'sustainablefinance', 'definition', 'taxonomy', 'world', 'need', 'interoperability', 'advisory', 'group', 'gtag', 'report']"
9,2023-02-24T01:00:04.000Z,"From ' #CarbonCredits ' to 'green bonds', this comprehensive  #SustainableFinance  glossary provides easy-to-understand definitions of key terms in green finance. #ThinkLandscape","""sustainablefinance""AND""definition""",CarbonCredits,2023-02-24 01:00:04+00:00,2023-02-24,"['carboncredits', ""'green"", 'bond', 'comprehensive', 'sustainablefinance', 'glossary', 'provide', 'easy-to-understand', 'definition', 'key', 'term', 'green', 'finance', 'thinklandscape']","['carboncredits', 'bond', 'sustainablefinance', 'definition', 'term', 'finance', 'thinklandscape']"
