,time,content,search_key
0,2023-06-01T14:04:44.000Z,""" #EuropeanCommission  Responds to ESA's Questions on The Interpretation of SFDR, Including with Respect to The Definition of 'Sustainable Investments'""  #SustainableFinance  ","""sustainablefinance""AND""definition"""
1,2023-06-01T14:04:44.000Z,"Sie werden keinen normalen Rucksack mehr tragen
""Ich liebe diesen Rucksack! Ich benutze ihn täglich seit mehr als einem Jahr für die Arbeit und ermsieht noch aus wie neu! Grossartige Qualität und jede Menge Platz und nützliche Fächer und Features.""","""sustainablefinance""AND""definition"""
2,2023-06-04T22:00:27.000Z,Definitions of key sustainable investment concepts from   report 'A legal framework for impact: Sustainability impact in investor decision-making'. Read it here   #sustainablefinance   #ESG   #impact,"""sustainablefinance""AND""definition"""
3,2023-06-12T20:00:21.000Z,"link. 

Real estate groups are calling for changes to the 'confusing' SFDR rules, claiming the definition of inefficient assets is 'unworkable'.  #ESG   #SustainableFinance   #UPSG   #PositiveSocioeconomicChange  [LINK:  ]","""sustainablefinance""AND""definition"""
4,2023-06-01T10:30:52.000Z,Common definition of  #greenwashing  published by the ESAs. #sustainablefinance   #esg   #sfdr   #eutaxonomy,"""sustainablefinance""AND""definition"""
5,2023-05-19T06:59:15.000Z,Seit Mittwoch online: Die Consolidated Q&A zur  #SFDR  inkl. der im April veröffentlichten Antworten der   auf die September-22-Fragen der ESAs zur Definition von  #Nachhaltigkeit   #SustainableFinance  ,"""sustainablefinance""AND""definition"""
6,2023-03-01T11:01:12.000Z,"The Impact Frontiers &   public consultation on proposed definitions, strategies, disclosures & templates for investor contribution is underway. Contribute to the discussion & join a huddle in your region    #SustainableFinance   #ManageForImpact","""sustainablefinance""AND""definition"""
7,2023-05-02T01:15:10.000Z,Global law firm   have prepared a list of key biodiversity terms and their legal definitions to support people who are new to the  #biodiversity  field.   #nature   #sustainablefinance   #finance,"""sustainablefinance""AND""definition"""
8,2023-02-24T08:55:23.000Z,To boost flows of  #sustainablefinance  we need consistent & credible definitions. There are  now 30+ taxonomies underway across the world. The UK needs to act to promote interoperability says its Green Technical Advisory Group (GTAG). Read the report here: ,"""sustainablefinance""AND""definition"""
9,2023-02-24T01:00:04.000Z,"From ' #CarbonCredits ' to 'green bonds', this comprehensive  #SustainableFinance  glossary provides easy-to-understand definitions of key terms in green finance. #ThinkLandscape","""sustainablefinance""AND""definition"""
10,2023-02-08T21:01:07.000Z,"Find out why the cost of  #decarbonisation , a set of global definitions, nature KPIs and regulation are high up the 2023  #SustainableFinance  agenda.    #SustainableLeadership","""sustainablefinance""AND""definition"""
11,2022-12-14T17:26:07.000Z,"2/2 It’s all part of a trend by asset managers and owners to pull back on ESG claims for their investments, and a more stringent definition of  #ESGintegration  by  #sustainablefinance  industry leaders.","""sustainablefinance""AND""definition"""
12,2022-11-17T12:35:37.000Z,"  #SustainableFinance  taxonomies provide clear definitions and classifications of sustainable economic activities, installing trust and credibility in financial markets. They help address the financing needs of developing and emerging economies for a just transition.","""sustainablefinance""AND""definition"""
13,2022-11-29T10:37:58.000Z,"To fix  #sustainablefinance  a definition of harmful activities is needed and a clear prohibition to include them in Art. 9 products. See the excluded investments list in the Eco-label proposal, or clear product-level thresholds for PAI indicators to demonstrate no significant harm","""sustainablefinance""AND""definition"""
14,2022-11-16T08:00:00.000Z,There's much focus on how companies report their carbon emissions but with no globally accepted definition of  #lowcarbon  how can investors have confidence in their investments? Learn more    #FastmarketsNewGen   #lithium   #sustainablefinance   #BatteryMaterials,"""sustainablefinance""AND""definition"""
15,2022-10-21T08:18:07.000Z,See a definition of sustainability!!   training academy on  #sustainablefinance   #CEMRmeets   #localgov  ,"""sustainablefinance""AND""definition"""
16,2022-10-19T05:34:32.000Z," looks to boost means of  #sustainablefinance  in  #India  by amplifying the definitions of  #Greenbonds  &  #Bluebonds . Monitoring & evaluation through  #Regtech  &  #SupTech  will be key for this. 
Read it at:      ","""sustainablefinance""AND""definition"""
17,2022-10-18T22:00:55.000Z,"A new  #ASFI  report outlines the key considerations that will inform the development of an Australian  #taxonomy  to advance  #sustainablefinance  and drive investment in the transition to a  #netzero  economy using credible, science-based definitions.","""sustainablefinance""AND""definition"""
18,2022-10-06T08:53:16.000Z,"The definition of  #SustainableFinance  by Gwen Yu.

Listen to the #26-Episode with Gwen Yu on ""Creating a better and sustainably financed world"".   #ScoutingForGrowth","""sustainablefinance""AND""definition"""
19,2022-10-06T08:53:16.000Z,,"""sustainablefinance""AND""definition"""
20,2022-09-30T10:35:38.000Z,"A5: I am not an expert on the policy-aspects of  #SustainableFinance , but I think the EU taxonomy is an important first step to find a standard definition and framework. That said, I am disappointed in the lack of rigerousness by including gas and nuclear energy...","""sustainablefinance""AND""definition"""
